what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator,3.4.1.M20090911-1550,"org.eclipse.ui.navigator",1261242364093
started,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1261242364093
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1261242364093
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1261242364093
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1261242364093
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1261242364093
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1261242364093
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1261242364093
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1261242364093
os,sysinfo,,,"win32",1261242364093
arch,sysinfo,,,"x86",1261242364109
ws,sysinfo,,,"win32",1261242364109
locale,sysinfo,,,"pl_PL",1261242364109
processors,sysinfo,,,"1",1261242364109
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1261242364109
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1261242364109
java.specification.name,sysinfo,,,"Java Platform API Specification",1261242364109
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1261242364109
java.specification.version,sysinfo,,,"1.6",1261242364109
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1261242364109
java.version,sysinfo,,,"1.6.0_17",1261242364109
java.vm.info,sysinfo,,,"mixed mode",1261242364109
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1261242364109
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1261242364109
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1261242364109
