what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1261305646093
started,bundle,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.ide",1261305646171
started,bundle,org.eclipse.ui.intro,3.3.1.v20090805_35x,"org.eclipse.ui.intro",1261305646218
started,bundle,org.eclipse.ui.intro.universal,3.2.300.v20090526,"org.eclipse.ui.intro.universal",1261305646218
started,bundle,org.eclipse.ui.navigator,3.4.1.M20090911-1550,"org.eclipse.ui.navigator",1261305646250
started,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1261305646296
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1261305646312
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1261305646328
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1261305646406
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1261305646453
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1261305646453
os,sysinfo,,,"win32",1261305646671
arch,sysinfo,,,"x86",1261305646671
ws,sysinfo,,,"win32",1261305646671
locale,sysinfo,,,"pl_PL",1261305646671
processors,sysinfo,,,"1",1261305646671
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1261305646671
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1261305646671
java.specification.name,sysinfo,,,"Java Platform API Specification",1261305646671
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1261305646671
java.specification.version,sysinfo,,,"1.6",1261305646671
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1261305646671
java.version,sysinfo,,,"1.6.0_17",1261305646671
java.vm.info,sysinfo,,,"mixed mode",1261305646671
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1261305646671
