what,kind,bundleId,bundleVersion,description,time
java.vm.specification.version,sysinfo,,,"1.0",1261242364109
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1261242364109
java.vm.version,sysinfo,,,"14.3-b01",1261242364109
started,bundle,org.eclipse.cdt.managedbuilder.ui,5.1.0.200909110608,"org.eclipse.cdt.managedbuilder.ui",1261242482312
started,bundle,org.eclipse.cdt.managedbuilder.core,6.0.0.200909110608,"org.eclipse.cdt.managedbuilder.core",1261242482390
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,5.0.100.200909110608,"org.eclipse.cdt.managedbuilder.gnu.ui",1261242482875
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261242484234
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261242512921
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261242517046
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261242584000
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261242588140
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261242815890
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1261242904406
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1261242904546
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1261242904546
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261242909984
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1261243117875
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1261243122703
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261243807671
failed,command,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externalTools.commands.OpenExternalToolsConfigurations",1261243807750
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261243828468
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261243836093
failed,command,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externalTools.commands.OpenExternalToolsConfigurations",1261243836156
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261243837890
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261243855937
