what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1261318304015
arch,sysinfo,,,"x86",1261318304015
ws,sysinfo,,,"win32",1261318304015
locale,sysinfo,,,"pl_PL",1261318304015
processors,sysinfo,,,"1",1261318304015
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1261318304015
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1261318304015
java.specification.name,sysinfo,,,"Java Platform API Specification",1261318304015
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1261318304015
java.specification.version,sysinfo,,,"1.6",1261318304015
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1261318304015
java.version,sysinfo,,,"1.6.0_17",1261318304015
java.vm.info,sysinfo,,,"mixed mode",1261318304015
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1261318304015
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1261318304015
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1261318304015
java.vm.specification.version,sysinfo,,,"1.0",1261318304015
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1261318304015
java.vm.version,sysinfo,,,"14.3-b01",1261318304015
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.core",1261318305343
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.ui",1261318305609
started,bundle,org.eclipse.mylyn.context.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.core",1261318305953
started,bundle,org.eclipse.mylyn.context.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.ui",1261318305984
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui",1261318306375
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1261318306421
