what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.help,3.4.1.v20090805_35x,"org.eclipse.help",1261336769187
started,bundle,org.eclipse.jface,3.5.1.M20090826-0800,"org.eclipse.jface",1261336769203
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1261336769234
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1261336769265
started,bundle,org.eclipse.team.core,3.5.0.I20090527-0620,"org.eclipse.team.core",1261336769281
started,bundle,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui",1261336769343
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1261336769375
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1261336769375
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1261336769390
started,bundle,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.ide",1261336769406
started,bundle,org.eclipse.ui.navigator,3.4.1.M20090911-1550,"org.eclipse.ui.navigator",1261336769453
started,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1261336769500
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1261336769500
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1261336769500
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1261336769531
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1261336769593
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1261336769593
os,sysinfo,,,"win32",1261336769609
arch,sysinfo,,,"x86",1261336769609
ws,sysinfo,,,"win32",1261336769609
locale,sysinfo,,,"pl_PL",1261336769609
processors,sysinfo,,,"1",1261336769609
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1261336769609
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1261336769609
java.specification.name,sysinfo,,,"Java Platform API Specification",1261336769609
