what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261243871015
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261243883875
failed,command,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externalTools.commands.OpenExternalToolsConfigurations",1261243883937
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1261243901343
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1261243901390
started,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.ui",1261243902328
started,bundle,org.eclipse.cdt.debug.core,6.0.0.200909110608,"org.eclipse.cdt.debug.core",1261243902500
started,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.core",1261243902500
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1261243911265
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261243915828
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261244271312
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261244284687
started,bundle,com.zylin.embeddedcdt,4.9.1,"com.zylin.embeddedcdt",1261244473046
started,bundle,org.eclipse.cdt.launch,6.0.0.200909110608,"org.eclipse.cdt.launch",1261244473078
started,bundle,org.eclipse.cdt.debug.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.ui",1261244473187
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1261244709484
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261245048609
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261245055796
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261245059468
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261245061578
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261245085421
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261245090890
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261245209890
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261245217468
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261245231515
